PLAYER_NAME,SEASON_1,ERA,cluster,PC1,PC2,rim_share,paint_share,mid_share,lc3_share,rc3_share,atb3_share
Josh Powell,2008,pre,4,-2.1110263260057804,-0.6284565902011342,0.45396825396825397,0.1746031746031746,0.3619047619047619,0.0,0.0,0.009523809523809525
Obi Toppin,2024,post,2,1.519639152018717,1.7450464051465797,0.4513888888888889,0.09375,0.020833333333333332,0.125,0.05555555555555555,0.2534722222222222
Kevin Love,2023,post,3,2.45484207043771,0.2607403417172884,0.125,0.09198113207547169,0.08726415094339622,0.06839622641509434,0.05188679245283019,0.5754716981132075
Sam Dekker,2018,post,1,-0.624554140379179,1.582881977710238,0.6085271317829457,0.10852713178294573,0.05426356589147287,0.031007751937984496,0.03488372093023256,0.16279069767441862
Lou Williams,2009,pre,3,0.032908196748662966,-0.4796727120500487,0.35468564650059314,0.09134045077105575,0.2941874258600237,0.054567022538552785,0.02372479240806643,0.18149466192170818
Tim Hardaway Jr.,2015,post,3,1.366924395109488,-0.382819441624447,0.22408963585434175,0.06862745098039216,0.21568627450980393,0.05182072829131653,0.04341736694677871,0.3963585434173669
Dwyane Wade,2008,pre,4,-1.3532035286623416,-1.6209156191229317,0.3468950749464668,0.1145610278372591,0.4593147751605996,0.010706638115631691,0.0021413276231263384,0.06638115631691649
Blake Griffin,2013,pre,4,-2.0198199118624007,-0.3138968277630331,0.45988805970149255,0.18936567164179105,0.3246268656716418,0.005597014925373134,0.0037313432835820895,0.016791044776119403
Draymond Green,2016,post,0,-0.5331606392923609,1.269997851204214,0.5207823960880196,0.11735941320293398,0.04767726161369193,0.019559902200488997,0.011002444987775062,0.28361858190709044
Deron Williams,2006,pre,4,-0.274078120427496,-1.6338166601353339,0.25,0.07960199004975124,0.4017412935323383,0.012437810945273632,0.008706467661691543,0.24751243781094528
Chauncey Billups,2007,pre,3,0.8144064669844941,-1.5555969583860803,0.18673218673218672,0.051597051597051594,0.3746928746928747,0.03562653562653563,0.03194103194103194,0.3194103194103194
Kevin Love,2009,pre,1,-2.0550539734409146,-0.11391735929221442,0.5402635431918009,0.14348462664714495,0.2957540263543192,0.0029282576866764276,0.0,0.017569546120058566
Earl Boykins,2010,pre,4,-0.8275513222950028,-2.1919309553032673,0.1488833746898263,0.18114143920595532,0.5210918114143921,0.022332506203473945,0.01240694789081886,0.1141439205955335
Craig Smith,2010,pre,1,-2.405458059937027,1.563924056896735,0.7204030226700252,0.16624685138539042,0.10075566750629723,0.0025188916876574307,0.0025188916876574307,0.007556675062972292
Jose Calderon,2010,pre,3,0.44296263262189817,-1.6346559482326206,0.2623239436619718,0.028169014084507043,0.4084507042253521,0.04929577464788732,0.017605633802816902,0.23415492957746478
Antoine Walker,2004,pre,0,-0.800978077362531,1.1980805306378313,0.4171833480956599,0.2267493356953056,0.08591674047829938,0.03631532329495128,0.00974313551815766,0.2240921169176262
Chucky Atkins,2006,pre,3,1.218951592638974,-0.8091578268605967,0.20350877192982456,0.05789473684210526,0.2649122807017544,0.02456140350877193,0.054385964912280704,0.39473684210526316
CJ Miles,2011,pre,0,0.22989565325868364,-0.26313853848662017,0.2424581005586592,0.15418994413407822,0.22681564245810057,0.02905027932960894,0.027932960893854747,0.3195530726256983
Brevin Knight,2008,pre,4,-1.2865570639625488,-4.068483059690462,0.1348973607038123,0.08504398826979472,0.7653958944281525,0.002932551319648094,0.0,0.011730205278592375
Marcus Morris Sr.,2020,post,3,1.0730104910047604,-0.9623198783553946,0.10918114143920596,0.1488833746898263,0.315136476426799,0.07444168734491315,0.02977667493796526,0.3225806451612903
Wesley Matthews,2021,post,2,4.09672284641861,0.7380042705401592,0.11507936507936507,0.047619047619047616,0.05555555555555555,0.1626984126984127,0.07936507936507936,0.5396825396825397
Tyler Herro,2023,post,0,0.9335275067119712,0.04636351484454071,0.13279132791327913,0.20776874435411022,0.17615176151761516,0.051490514905149054,0.03974706413730804,0.3920505871725384
Rui Hachimura,2023,post,0,-0.05005872431394304,0.07407769630062512,0.3082191780821918,0.1815068493150685,0.2363013698630137,0.06678082191780822,0.023972602739726026,0.1832191780821918
Vince Williams Jr.,2024,post,2,2.25750266159944,1.3825422047544218,0.27440633245382584,0.1345646437994723,0.0395778364116095,0.11345646437994723,0.08443271767810026,0.35356200527704484
Joel Embiid,2017,post,0,-1.0301512353225275,-0.2096851382942777,0.3752913752913753,0.15384615384615385,0.24242424242424243,0.004662004662004662,0.0,0.22377622377622378
Jose Alvarado,2022,post,0,0.16121121600656663,1.0228986639124429,0.2832764505119454,0.24573378839590443,0.09897610921501707,0.04436860068259386,0.04778156996587031,0.27986348122866894
Derrick Favors,2016,post,4,-2.2794616589360026,-0.43334053572405284,0.4276885043263288,0.2249690976514215,0.34487021013597036,0.0,0.0,0.002472187886279357
Trey Lyles,2019,post,0,0.24112341930011152,0.7868015391705729,0.29817444219066935,0.19675456389452334,0.10344827586206896,0.05273833671399594,0.02028397565922921,0.3286004056795132
Austin Rivers,2022,post,2,3.9046878805567915,1.7453032229329786,0.20857142857142857,0.11714285714285715,0.014285714285714285,0.17714285714285713,0.13428571428571429,0.3485714285714286
Nikola Jokic,2019,post,0,-1.4586383346950755,0.8421747150398722,0.3876871880199667,0.2628951747088186,0.1281198003327787,0.0016638935108153079,0.0033277870216306157,0.21630615640599002
Victor Oladipo,2017,post,3,0.8953290949816024,0.008560733196909198,0.2903225806451613,0.11182795698924732,0.221505376344086,0.04408602150537634,0.07419354838709677,0.25806451612903225
Emeka Okafor,2010,pre,1,-2.657931125211271,1.2119464115118963,0.5807926829268293,0.26676829268292684,0.1524390243902439,0.0,0.0,0.0
Wes Iwundu,2020,post,0,0.6249440157800832,0.14158501650514888,0.27467811158798283,0.15879828326180256,0.2145922746781116,0.06437768240343347,0.05150214592274678,0.23605150214592274
